tick,t,ms_per_tick,fauna_n,flora_n,capacity,free_slots,flora_mass,flora_mass_mean,struct_mean,struct_std,uptake_mean,uptake_std,cells_occupied,per_cell_max,per_cell_mean,shared_cell_frac,struct_temp_corr,uptake_nutr_corr,uptake_mass_corr,flora_band0,struct_band0,flora_band1,struct_band1,flora_band2,struct_band2,flora_band3,struct_band3,flora_band4,struct_band4,flora_band5,struct_band5,flora_band6,struct_band6,flora_band7,struct_band7,nutr_free,nutr_in_flora,nutr_in_detritus,nutr_total,nutr_added,nutr_lost,nutr_unaccounted,detritus_mass,detritus_cells,detritus_struct,fauna_mass,label
5000,100.0,2.7487,13,141,256,102,0.046311053083627485,0.00032844718499026583,0.5702828031482426,0.14017023881652196,0.6518684841216879,0.1813449385893041,140,2,1.0071428571428571,0.014184397163120567,0.13822274672914314,0.1374429658905216,-0.07723226436009688,19,0.5442350569524264,13,0.6019622202102954,12,0.5958614697058996,23,0.538868828960087,16,0.5690984893590212,16,0.5718473792076111,23,0.5838896722897239,19,0.579735959831037,0.0003123579461654488,0.0007179601098346535,6.156840345280583e-07,0.0010309337400346303,0.0003276800000000185,3.846222399916168e-07,0.0007036383622746035,0.00019073034567895775,63,0.9955129027366638,9.541623452377607,bas1
5500,110.0,2.7595,13,143,256,100,0.04655602115599322,0.00032556658151044213,0.5706991196929158,0.13929070096707488,0.6536586180433527,0.18078638339026326,142,2,1.0070422535211268,0.013986013986013986,0.1491633127816294,0.1347089692019168,-0.09990220689059022,20,0.5452940225601196,13,0.6019622202102954,12,0.5958614697058996,23,0.538868828960087,17,0.572956490166047,16,0.5718473792076111,23,0.5838896722897239,19,0.579735959831037,0.00034166265790442046,0.0007212801269397317,4.5459044733201725e-07,0.001063397375291484,0.00036044800000002854,4.021391557425945e-07,0.0007033515144471981,0.00017308340905231034,68,0.9975267052650452,9.59276623467102,bas1
6000,120.0,2.7593,13,145,256,98,0.046345963564817794,0.0003196273349297779,0.5692440497464147,0.1403719297825959,0.6512339649529293,0.1809541202426226,144,2,1.0069444444444444,0.013793103448275862,0.15320213680944467,0.10547095183288335,-0.018614849434016596,21,0.5387952171620869,14,0.615344449877739,12,0.5958614697058996,23,0.538868828960087,17,0.572956490166047,15,0.5641153494517008,24,0.577065451691548,19,0.579735959831037,0.00037255515108062967,0.0007194162419725605,3.9837444061310445e-06,0.0010959551374593213,0.0003932160000000386,6.173148230532616e-07,0.000703356452282336,0.0005514603905254489,70,0.9953372478485107,9.637268208721975,bas1
6500,130.0,2.7635,13,146,256,97,0.0466291615521186,0.00031937781885012744,0.5680575748420742,0.14061805591522403,0.6508499514566709,0.1803926261991703,145,2,1.006896551724138,0.0136986301369863,0.14517046853471352,0.10510808970068371,-0.013870433214590165,21,0.5387952171620869,15,0.6007227341334025,12,0.5958614697058996,23,0.538868828960087,17,0.572956490166047,15,0.5641153494517008,24,0.577065451691548,19,0.579735959831037,0.00040284394938245205,0.0007233832305474569,2.2433998222650565e-06,0.001128470579752174,0.00042598400000004865,7.920327930278537e-07,0.0007032786125451532,0.0004551983748655175,72,0.9974436163902283,9.673758926236093,bas1
7000,140.0,2.7716,13,144,256,99,0.04621480146670365,0.0003209361212965531,0.565763339607252,0.14022579495443713,0.6528423157417111,0.18073808618915804,143,2,1.006993006993007,0.013888888888888888,0.13273188702901637,0.07477236221648707,-0.00866586188422305,21,0.5387952171620869,15,0.6007227341334025,11,0.583948785608465,23,0.538868828960087,17,0.572956490166047,15,0.5641153494517008,23,0.5699994266033173,19,0.579735959831037,0.0004340199009047832,0.000720206432345294,6.61444423184799e-06,0.0011608407774819252,0.0004587520000000587,1.0807726456571223e-06,0.0007031695501275236,0.0010063755436391375,77,0.9931169152259827,9.701401962612335,bas1
7500,150.0,2.7779,13,144,256,99,0.04621563996261102,0.00032094194418479875,0.5668508066899247,0.1396103141162343,0.6540833606074253,0.18066527693682652,142,2,1.0140845070422535,0.027777777777777776,0.12531726886013753,0.04986564839835447,-0.01666469265658391,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,23,0.538868828960087,17,0.572956490166047,15,0.5641153494517008,23,0.5699994266033173,19,0.579735959831037,0.0004659798136554274,0.0007183530410621628,8.810994135506802e-06,0.001193143848853097,0.0004915200000000661,1.4682181481994254e-06,0.0007030920670012303,0.0010986207868199926,80,0.9893304705619812,9.725361164881642,bas1
8000,160.0,2.7849,13,146,256,97,0.04652577873275732,0.00031866971734765284,0.5658737745595305,0.13932596652138535,0.6563472059899813,0.18055690866013083,144,2,1.0138888888888888,0.0273972602739726,0.12812216093509307,-0.02728149490581189,-0.044981190808414596,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,24,0.5331801685194174,18,0.5738319042656157,15,0.5641153494517008,23,0.5699994266033173,19,0.579735959831037,0.0004978537243612443,0.0007227868693387797,4.842975046300483e-06,0.0012254835687463244,0.000524288000000049,1.8656479296556707e-06,0.000703061216675931,0.0008912714179345471,81,0.9931502938270569,9.746016505742755,bas1
8500,170.0,2.7915,13,149,256,94,0.046841696526826127,0.00031437380219346395,0.5639905947566832,0.13915132873545924,0.6594174658292092,0.1805981789407569,146,3,1.0205479452054795,0.03355704697986577,0.1323979391489318,-0.02954060617779658,-0.08018501987304644,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,25,0.5275245940685273,18,0.5738319042656157,16,0.5553875342011452,23,0.5699994266033173,20,0.5807874828577042,0.0005276989175147017,0.0007272101648010644,2.9269838484779895e-06,0.0012578360661642442,0.000557056000000032,2.057936978041263e-06,0.0007028380031422535,0.0007553816332475094,82,0.9958773255348206,9.763676942613689,bas1
9000,180.0,2.7965,13,148,256,95,0.04680649620786426,0.0003162601095125963,0.5637926735185288,0.13959973941178336,0.6576650692401705,0.17994031073163144,145,3,1.0206896551724138,0.033783783783783786,0.12787366248295853,-0.02159973625307063,-0.08513083862851872,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,25,0.5275245940685273,18,0.5738319042656157,16,0.5553875342011452,22,0.5689410851760344,20,0.5807874828577042,0.0005586226178912086,0.0007265092570084553,5.101395137687264e-06,0.0012902332700373512,0.0005898240000000149,2.3762371246474324e-06,0.0007027855071619837,0.0009347239245656169,84,0.9941861033439636,9.778661585290346,bas1
9500,190.0,2.8024,13,148,256,95,0.04712803343136329,0.00031843265832002225,0.5637926735185288,0.13959973941178336,0.6576650692401705,0.17994031073163144,145,3,1.0206896551724138,0.033783783783783786,0.12637768423436058,-0.009835171366619383,-0.08642929262893735,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,25,0.5275245940685273,18,0.5738319042656157,16,0.5553875342011452,22,0.5689410851760344,20,0.5807874828577042,0.0005883885968530872,0.0007309860052531228,3.0934368267029127e-06,0.0013224680389329127,0.0006225919999999979,2.5792490080031443e-06,0.000702455287940918,0.0007965963139540122,90,0.9949706792831421,9.791515336835687,bas1
