tick,t,ms_per_tick,fauna_n,flora_n,capacity,free_slots,flora_mass,flora_mass_mean,struct_mean,struct_std,uptake_mean,uptake_std,cells_occupied,per_cell_max,per_cell_mean,shared_cell_frac,struct_temp_corr,uptake_nutr_corr,uptake_mass_corr,flora_band0,struct_band0,flora_band1,struct_band1,flora_band2,struct_band2,flora_band3,struct_band3,flora_band4,struct_band4,flora_band5,struct_band5,flora_band6,struct_band6,flora_band7,struct_band7,nutr_free,nutr_in_flora,nutr_in_detritus,nutr_total,nutr_added,nutr_lost,nutr_unaccounted,detritus_mass,detritus_cells,detritus_struct,fauna_mass,label
0,0.0,0.0405,12,128,256,116,0.04495420353487134,0.00035120471511618234,0.5736576444469392,0.14055769183438016,0.6187209747731686,0.1967741309312512,128,1,1.0,0.0,0.010462211713101657,0.0,-0.07358078810086145,15,0.640675135453542,17,0.5436764569843516,14,0.558719562632697,10,0.5746406644582749,16,0.5466697067022324,21,0.6232545943487258,17,0.5361622799845303,18,0.5587361454963684,0.0,0.0006958058270543766,0.0,0.0006958058270543766,0.0,0.0,0.0006958058270543766,0.0,0,0.0,11.31363351177859,bas2
500,10.0,2.722,12,129,256,115,0.04474012416176265,0.0003468226679206407,0.5691394200620725,0.1404774148313774,0.6203907571097677,0.19584358204235486,129,1,1.0,0.0,0.012404732366351142,-0.05669297032628577,-0.07401961636356116,16,0.6295210942626,17,0.5436764569843516,14,0.558719562632697,11,0.552443187345158,16,0.5466697067022324,20,0.6143237143754959,17,0.5361622799845303,18,0.5587361454963684,3.271598169471404e-05,0.0006940497087483009,1.4349443830451797e-06,0.0007282006348260601,3.276799999999991e-05,4.383070314854553e-08,0.0006954764655292088,0.00021392874430148368,9,0.9606589078903198,11.654249858243185,bas2
1000,20.0,2.7077,12,132,256,112,0.04478516082599526,0.000339281521409055,0.5650980384512381,0.14155607210865725,0.618157941735152,0.1959787445478239,132,1,1.0,0.0,-0.005694148834522039,-0.045249056277745815,-0.025973865105874815,16,0.6295210942626,19,0.5308414336882139,14,0.558719562632697,12,0.533945289750894,16,0.5466697067022324,20,0.6143237143754959,17,0.5361622799845303,18,0.5587361454963684,6.521859923074843e-05,0.0006946487793706758,8.301195571361543e-07,0.0007606974981585604,6.553600000000026e-05,1.0528924051054493e-07,0.0006952667873990707,0.00018237710258972584,13,0.9863365888595581,11.917414140964802,bas2
